Customer Type,Comments,Identified_Language,Translated_Language,Response,Categorisation,Sentiment,Sector,Flight No,Flight Date,Cabin Class,Seat No,Aircraft Version,Tail No,FFP Member,Gender,Age,Country,sentiment,sentiment_score,keywords,keywords_label,keywords_relevance,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,concepts_text,concepts_relevance
Promoter,Amenity Kit: Comments,pt,In the,No,None,Neutral,BOM-MRU,NK0749,29/11/2018,ECONOMY,016A,343C,3BNAU,NO,Male,55-64,India,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Detractor,Amenity Kit: Comments,fr,No socks,pas de chaussette,No socks,Negative,MRU-LHR,NK0042,29/11/2018,ECONOMY,022A,343C,3BNBD,NO,Female,26-34,France,neutral,0,socks,neutral,0.997527,0.088473,0.074744,0.091248,0.179551,0.148831,,
Detractor,Amenity Kit: Comments,en,Ear plugs needed,Ear plugs needed,No ear plugs,Negative,MRU-LHR,NK0042,29/11/2018,ECONOMY,041G,343C,3BNBD,NO,Female,45-54,Mauritius,neutral,0,Ear plugs,neutral,0.5,0.203778,0.012581,0.479055,0.247382,0.179218,,
Passive,Amenity Kit: Comments,nl,Top:),top :),Compliment,Positive,MRU-LHR,NK0042,30/11/2018,ECONOMY,028H,343E,3BNBI,NO,Female,26-34,France,positive,0.943749,,,,0.035732,0.003608,0.006321,0.899245,0.00537,,
Promoter,Amenity Kit: Comments,fr,Good,Bien,Compliment,Positive,GVA-MRU,NK0059,30/11/2018,ECONOMY,030F,343E,3BNBJ,NO,Female,55-64,France,positive,0.903402,,,,0.0,0.0,0.0,0.880435,0.0,,
Promoter,Amenity Kit: Comments,it,Not.,Non.,None,Neutral,GVA-MRU,NK0059,30/11/2018,ECONOMY,031H,343E,3BNBJ,NO,Male,55-64,Switzerland,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Passive,Amenity Kit: Comments,pt,In the,No,None,Neutral,LHR-MRU,NK0053,30/11/2018,ECONOMY,011H,343C,3BNBD,NO,Male,65-75,United Kingdom,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Promoter,Amenity Kit: Comments,en,Alright ,Alright ,Compliment,Positive,LHR-MRU,NK0053,30/11/2018,ECONOMY,040C,343C,3BNBD,NO,Male,45-54,United Kingdom,positive,0.724148,,,,0.0,0.0,0.0,0.0,0.0,,
Promoter,Amenity Kit: Comments,en,Perfume in kit.,Perfume in kit.,Other,Neutral,LHR-MRU,NK0053,30/11/2018,ECONOMY,030F,343C,3BNBD,NO,Male,35-44,United Kingdom,neutral,0,Perfume,neutral,0.980057,0.07621,0.089561,0.080077,0.337734,0.155847,,
Passive,Amenity Kit: Comments,en,No its ok.,No its ok.,Other,Positive,MRU-LHR,NK0042,30/11/2018,ECONOMY,025C,343E,3BNBI,NO,Male,76 & over,Mauritius,neutral,0,,,,0.088473,0.074744,0.091248,0.179551,0.148831,,
Detractor,Amenity Kit: Comments,en,Better pens are needed. Also you have discontinued providing earplugs and that's a shame because people need that. Provide earplugs again. ,Better pens are needed. Also you have discontinued providing earplugs and that's a shame because people need that. Provide earplugs again. ,No ear plugs,Negative,MRU-LHR,NK0042,30/11/2018,ECONOMY,,343E,3BNBI,NO,Male,76 & over,United Kingdom,negative,-0.936066,Better pens,positive,0.95268,0.308894,0.208236,0.086447,0.084704,0.402427,Need,0.886784
Detractor,Amenity Kit: Comments,fr,Yes No Evian,Oui pas mal,Good products,Positive,MRU-CDG,NK0034,30/11/2018,BUSINESS,002J,359C,3BNBQ,NO,Female,55-64,France,neutral,0,Evian,neutral,0.5,0.091797,0.078108,0.08519,0.191139,0.141719,,
Promoter,Amenity Kit: Comments,sr,.,.,None,Neutral,BOM-MRU,NK0749,01/12/2018,ECONOMY,004D,343C,3BNAU,NO,Male,55-64,India,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Passive,Amenity Kit: Comments,it,Not,Non,None,Neutral,CDG-MRU,NK0045,04/12/2018,ECONOMY,033E,359C,3BNBP,NO,Female,35-44,Madagascar,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Detractor,Amenity Kit: Comments,en,Amenity could be improved as the actual pack is fair but the quality is not that good and there maybe could reconsider and redesign the kit with more relevant things.,Amenity could be improved as the actual pack is fair but the quality is not that good and there maybe could reconsider and redesign the kit with more relevant things.,Recommendation,Negative,MRU-BOM,NK0748,04/12/2018,ECONOMY,021G,343C,3BNAU,NO,Male,65-75,Mauritius,positive,0.928913,actual pack,positive,0.930897,0.240832,0.093338,0.193729,0.307604,0.192224,Split Enz,0.9072
Passive,Amenity Kit: Comments,en,in the business class can provide individual ipad to see movies this way passenger can choose ,in the business class can provide individual ipad to see movies this way passenger can choose ,Recommendation,Neutral,NBO-MRU,NK0535,04/12/2018,BUSINESS,002A,319,3BNBF,YES,Male,45-54,Kenya,positive,0.574759,business class,positive,0.999883,0.019851,0.090476,0.040045,0.385393,0.098449,Walk This Way,0.886784
Promoter,Amenity Kit: Comments,en,Good useful contents.,Good useful contents.,Compliment,Positive,PER-MRU,NK0441,05/12/2018,ECONOMY,020A,332,3BNBM,NO,Male,55-64,Australia,positive,0.886145,Good useful contents,positive,0.5,0.040327,0.004815,0.007138,0.828304,0.025058,,
Promoter,Amenity Kit: Comments,en,None,None,None,Neutral,MRU-NBO,NK0534,06/12/2018,ECONOMY,019A,319,3BNBH,NO,Male,55-64,United States,negative,-0.911489,None,negative,0.997527,0.0,0.0,0.0,0.0,0.0,,
Passive,Amenity Kit: Comments,en,Better u don't give...save money on that item for other stuff..llike giving a serviette with the snack,Better u don't give...save money on that item for other stuff..llike giving a serviette with the snack,Poor quality/ Very dissatisfied,Negative,SIN-MRU,NK0647,06/12/2018,ECONOMY,035H,332,3BNBM,NO,Female,55-64,Mauritius,negative,-0.6284,Better u,negative,0.994954,0.060406,0.022988,0.011338,0.489231,0.349031,Bill Clinton,0.869212
Promoter,Amenity Kit: Comments,fr,Very good,très bien,Compliment,Positive,CDG-MRU,NK0045,06/12/2018,BUSINESS,002D,359C,3BNBP,NO,Male,55-64,France,positive,0.982418,,,,0.0,0.0,0.0,0.880435,0.0,,
Detractor,Amenity Kit: Comments,en,None,None,None,Neutral,MRU-SIN,NK0646,07/12/2018,BUSINESS,004D,332,3BNBM,NO,Female,26-34,Singapore,negative,-0.911489,None,negative,0.997527,0.0,0.0,0.0,0.0,0.0,,
Promoter,Amenity Kit: Comments,en,Nice. but maybe not very useful after all...,Nice. but maybe not very useful after all...,Not useful,Negative,MRU-CDG,NK0034,07/12/2018,ECONOMY,035C,359C,3BNBP,NO,Male,55-64,Finland,positive,0.452821,,,,0.008588,0.003605,0.006744,0.958169,0.009948,2003 singles,0.842282
Detractor,Amenity Kit: Comments,pt,In the,No,None,Neutral,LHR-MRU,NK0053,07/12/2018,ECONOMY,039G,343C,3BNBE,NO,Female,22-25,United Kingdom,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Passive,Amenity Kit: Comments,fr,I just had headphones.,Jai juste eu des écouteurs.,Did not receive,Negative,MRU-DAR,NK0534,08/12/2018,ECONOMY,021A,319,3BNBF,NO,Female,26-34,Reunion,neutral,0,headphones,neutral,0.891414,0.0,0.0,0.0,0.0,0.0,,
Detractor,Amenity Kit: Comments,en,Very poor quality,Very poor quality,Poor quality,Negative ,BOM-MRU,NK0749,10/12/2018,BUSINESS,001B,343E,3BNBJ,NO,Male,35-44,India,negative,-0.991605,poor quality,negative,1,0.122904,0.171883,0.406051,0.015465,0.586379,,
Promoter,Amenity Kit: Comments,pt,RAS,RAS,None,Neutral,CDG-MRU,NK0045,10/12/2018,ECONOMY,014E,359C,3BNBP,NO,Male,65-75,France,neutral,0,RAS,neutral,0.5,0.0,0.0,0.0,0.0,0.0,,
Passive,Amenity Kit: Comments,en,Please provide earplugs (which used to be provided in the past),Please provide earplugs (which used to be provided in the past),No ear plugs,Negative ,SIN-MRU,NK0647,11/12/2018,ECONOMY,019A,332,3BNBM,NO,Female,26-34,Singapore,neutral,0,earplugs,neutral,0.6668,0.03261,0.050561,0.040052,0.046375,0.037632,,
,Amenity Kit: Comments,it,Not,Non,None,Neutral,CDG-MRU,NK0045,11/12/2018,ECONOMY,027F,359C,3BNBQ,NO,Male,65-75,France,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Detractor,Amenity Kit: Comments,fr,Name,nom,None,Neutral,MRU-PER,NK0440,11/12/2018,ECONOMY,018A,332,3BNBM,NO,Female,45-54,Mauritius,neutral,0,Name,neutral,0.997527,0.0,0.0,0.0,0.0,0.0,,
Promoter,Amenity Kit: Comments,en,Please provide ear plugs,Please provide ear plugs,No ear plugs,Negative ,CDG-MRU,NK0045,11/12/2018,ECONOMY,031J,359C,3BNBQ,NO,Female,65-75,United Kingdom,neutral,0,ear plugs,neutral,0.5,0.148799,0.022992,0.204332,0.143821,0.032857,,
Passive,Amenity Kit: Comments,en,None,None,None,Neutral,PER-MRU,NK0441,12/12/2018,ECONOMY,014E,332,3BNBM,NO,Male,45-54,Australia,negative,-0.911489,None,negative,0.997527,0.0,0.0,0.0,0.0,0.0,,
Promoter,Amenity Kit: Comments,en,the toothbrush and the paste is poor quality could be better if you are handing these kits surely should be stronger only thing noticed the pouch has change the colour,the toothbrush and the paste is poor quality could be better if you are handing these kits surely should be stronger only thing noticed the pouch has change the colour,Poor quality/ Very dissatisfied,Negative ,MRU-LHR,NK0046,12/12/2018,ECONOMY,015G,343E,3BNBI,NO,Male,65-75,United Kingdom,negative,-0.850069,poor quality,negative,0.983816,0.057878,0.052858,0.221008,0.41031,0.384262,2007 singles,0.855271
Detractor,Amenity Kit: Comments,en,learn from emirates,learn from emirates,Other,Negative,MRU-LHR,NK0046,12/12/2018,ECONOMY,014C,343E,3BNBI,NO,Female,26-34,Mauritius,neutral,0,emirates,neutral,0.891414,0.076414,0.024151,0.054953,0.39257,0.099948,,
Promoter,Amenity Kit: Comments,fr,Very nice gesture. I think few companies do it ,Très beau geste. je pense que peu de compagnies le font ,Compliment,Positive,CDG-MRU,NK0045,12/12/2018,ECONOMY,017D,359C,3BNBP,NO,Male,76 & over,France,positive,0.97484,nice gesture,positive,0.935657,0.022936,0.061946,0.040284,0.7813,0.061052,,
Passive,Amenity Kit: Comments,pt,In the,No,None,Neutral,PER-MRU,NK0441,12/12/2018,ECONOMY,015C,332,3BNBM,NO,Female,55-64,Australia,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Passive,Amenity Kit: Comments,en,Paraben free. mineral free products required please,Paraben free. mineral free products required please,Recommendation,Negative ,CDG-MRU,NK0045,12/12/2018,BUSINESS,007A,359C,3BNBP,NO,Male,26-34,United Kingdom,positive,0.615535,mineral free products,neutral,0.99565,0.048739,0.077838,0.239391,0.021283,0.109461,Presentation of a group,0.862225
Detractor,Amenity Kit: Comments,en,The kit was very helpful,The kit was very helpful,Compliment,Positive,PER-MRU,NK0441,12/12/2018,ECONOMY,020D,332,3BNBM,NO,Male,26-34,Australia,positive,0.984244,kit,positive,0.980057,0.089187,0.048975,0.005738,0.545161,0.246833,,
Detractor,Amenity Kit: Comments,pt,In the,No,None,Neutral,MRU-LHR,NK0042,13/12/2018,ECONOMY,034F,343E,3BNBJ,NO,Male,65-75,United Kingdom,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Promoter,Amenity Kit: Comments,pt,In the,No,None,Neutral,MRU-CDG,NK0034,13/12/2018,ECONOMY,027J,359C,3BNBP,NO,Male,35-44,Croatia,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Detractor,Amenity Kit: Comments,en,The toilets should be refreshed more often ....some people lack basic hygiene...from half way ...they were smelly and dirty ...not a pleasant experience ...should be improved,The toilets should be refreshed more often ....some people lack basic hygiene...from half way ...they were smelly and dirty ...not a pleasant experience ...should be improved,Toilet,Negative ,SIN-MRU,NK0647,13/12/2018,ECONOMY,035A,332,3BNBM,NO,Female,55-64,Australia,negative,-0.838563,basic hygiene,negative,0.835968,0.26089,0.484519,0.035853,0.073044,0.123356,Water,0.869763
Detractor,Amenity Kit: Comments,en,No earplugs,No earplugs,No ear plugs,Negative ,MRU-BOM,NK0748,13/12/2018,ECONOMY,,343E,3BNBI,NO,Female,35-44,Mauritius,neutral,0,earplugs,neutral,0.5,0.088473,0.074744,0.091248,0.179551,0.148831,,
Promoter,Amenity Kit: Comments,en,I didn't get any amenity kit although I travelled by business class unlike the previous time.,I didn't get any amenity kit although I travelled by business class unlike the previous time.,Did not receive,Negative,BOM-MRU,NK0749,13/12/2018,BUSINESS,002A,343C,3BNAU,YES,Female,65-75,Mauritius,positive,0.576551,business class,positive,0.971995,0.06676,0.072029,0.105905,0.389758,0.130339,,
Passive,Amenity Kit: Comments,en,Wasteful as only some passengers make use of it. Should be available on request rather than given to all automatically,Wasteful as only some passengers make use of it. Should be available on request rather than given to all automatically,Recommendation,Negative ,LHR-MRU,NK0053,14/12/2018,ECONOMY,,343E,3BNBJ,NO,Female,65-75,United Kingdom,negative,-0.611465,passengers,neutral,0.705546,0.030603,0.043076,0.054482,0.167288,0.156261,,
Passive,Amenity Kit: Comments,it,Not,Non,None,Neutral,CDG-MRU,NK0045,17/12/2018,ECONOMY,,359C,3BNBQ,NO,Male,35-44,France,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Detractor,Amenity Kit: Comments,en,None,None,None,Neutral,BOM-MRU,NK0749,17/12/2018,ECONOMY,019D,332,3BNBM,NO,Male,26-34,India,negative,-0.911489,None,negative,0.997527,0.0,0.0,0.0,0.0,0.0,,
Promoter,Amenity Kit: Comments,en,Provide facial wipes ,Provide facial wipes ,No facial wipes,Negative,CDG-MRU,NK0045,18/12/2018,BUSINESS,002A,359C,3BNBP,NO,Female,55-64,,neutral,0,facial wipes,neutral,0.5,0.02779,0.339256,0.045563,0.065212,0.194931,,
Detractor,Amenity Kit: Comments,en,Nice surprise. well done,Nice surprise. well done,Compliment,Positive,MRU-LHR,NK0046,19/12/2018,ECONOMY,011A,343C,3BNBD,NO,Female,26-34,Mauritius,positive,0.988457,Nice surprise,positive,0.5,0.007085,0.052283,0.032518,0.861351,0.018085,,
Promoter,Amenity Kit: Comments,fr,Agréable ,Agréable ,Compliment,Positive,LHR-MRU,NK0057,19/12/2018,ECONOMY,034G,343C,3BNBD,NO,Male,55-64,France,positive,0.936057,,,,0.008878,0.010933,0.026472,0.336979,0.050715,,
Promoter,Amenity Kit: Comments,fr,There are no ear plugs ,Il ny a pas de bouchons doreilles ,No ear plugs,Negative,CDG-MRU,NK0045,19/12/2018,ECONOMY,031G,359C,3BNBQ,NO,Female,45-54,France,neutral,0,ear plugs,neutral,0.5,0.088473,0.074744,0.091248,0.179551,0.148831,,
Detractor,Amenity Kit: Comments,en,None.,None.,None,Neutral,MRU-LHR,NK0046,19/12/2018,ECONOMY,040B,343C,3BNBD,NO,,55-64,Mauritius,negative,-0.911489,None,negative,0.997527,0.0,0.0,0.0,0.0,0.0,,
Passive,Amenity Kit: Comments,en,Good,Good,Compliment,Positive ,PER-MRU,NK0441,19/12/2018,ECONOMY,028H,332,3BNBM,NO,Male,26-34,Australia,positive,0.903402,,,,0.0,0.0,0.0,0.880435,0.0,,
Detractor,Amenity Kit: Comments,en,Should have something to put in the ear to avoid blocking of ear. ,Should have something to put in the ear to avoid blocking of ear. ,No ear plugs,Negative,MRU-LHR,NK0042,20/12/2018,ECONOMY,041D,343C,3BNBE,YES,Female,18-21,Mauritius,negative,-0.682875,ear,negative,0.747291,0.540708,0.082482,0.41389,0.096399,0.156858,Ear,0.886784
Detractor,Amenity Kit: Comments,en,Good,Good,Compliment,Positive,SIN-MRU,NK0647,20/12/2018,ECONOMY,026C,332,3BNBM,NO,Female,35-44,United Kingdom,positive,0.903402,,,,0.0,0.0,0.0,0.880435,0.0,,
Passive,Amenity Kit: Comments,en,Wasteful as only some passengers make use of it. Should be available on request rather than given to all automatically,Wasteful as only some passengers make use of it. Should be available on request rather than given to all automatically,Poor quality/ Very dissatisfied,Negative ,LHR-MRU,NK0053,14/12/2018,ECONOMY,,343E,3BNBJ,NO,Female,65-75,United Kingdom,negative,-0.611465,passengers,neutral,0.705546,0.030603,0.043076,0.054482,0.167288,0.156261,,
Detractor,Amenity Kit: Comments,en,Fine ... i like the christian lacroix bag,Fine ... i like the christian lacroix bag,Compliment,Positive,MRU-GVA,NK0048,21/12/2018,BUSINESS,001H,343E,3BNBJ,NO,Female,45-54,United Kingdom,positive,0.917576,christian lacroix bag,positive,0.5,0.105162,0.246989,0.004052,0.492715,0.165094,Christian Lacroix,0.886784
Detractor,Amenity Kit: Comments,en,Poor,Poor,Poor quality,Negative,PER-MRU,NK0441,21/12/2018,ECONOMY,041G,332,3BNBM,NO,Male,65-75,Australia,negative,-0.989803,,,,0.0,0.828054,0.0,0.0,0.862998,,
Promoter,Amenity Kit: Comments,pt,In the,No,None,Neutral,GVA-MRU,NK0059,21/12/2018,ECONOMY,,343E,3BNBJ,NO,Male,45-54,Belgium,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Detractor,Amenity Kit: Comments,en,Good to have this small kit with brush sock etc . really helpful,Good to have this small kit with brush sock etc . really helpful,Compliment,Positive,MRU-LHR,NK0042,21/12/2018,ECONOMY,027D,343C,3BNBD,NO,Female,45-54,Mauritius,positive,0.98251,small kit,positive,0.706317,0.066786,0.030253,0.020489,0.739644,0.137059,,
Promoter,Amenity Kit: Comments,en,Consider toothpaste and toothbrush ,Consider toothpaste and toothbrush ,Compliment,Neutral,MRU-LHR,NK0042,21/12/2018,ECONOMY,027F,343C,3BNBD,NO,Male,55-64,Mauritius,neutral,0,toothpaste,neutral,0.844133,0.12172,0.069943,0.083531,0.24066,0.097191,,
Detractor,Amenity Kit: Comments,fr,Very well,Très bien,Compliment,Positive,GVA-MRU,NK0059,21/12/2018,ECONOMY,,343E,3BNBJ,NO,Male,45-54,France,positive,0.953397,,,,0.0,0.0,0.0,0.0,0.0,,
Detractor,Amenity Kit: Comments,en,Was good,Was good,Compliment,Positive,BOM-MRU,NK0749,22/12/2018,ECONOMY,033A,332,3BNBL,NO,Male,26-34,India,positive,0.926095,,,,0.0,0.0,0.0,0.880435,0.0,,
Promoter,Amenity Kit: Comments,en,None,None,None,Neutral,MRU-NBO,NK0534,22/12/2018,BUSINESS,002C,319,3BNBF,NO,Male,55-64,Uganda,negative,-0.911489,None,negative,0.997527,0.0,0.0,0.0,0.0,0.0,,
Promoter,Amenity Kit: Comments,en,Excellent. and a lot better than what is offered by KLM which was the Airline that brought us to Mauritius.,Excellent. and a lot better than what is offered by KLM which was the Airline that brought us to Mauritius.,Compliment,Positive,MRU-CDG,NK0034,31/12/2018,ECONOMY,027F,359C,3BNBP,NO,Male,45-54,Sweden,positive,0.970128,lot,positive,0.867485,0.019516,0.022752,0.014854,0.832469,0.033704,Northwest Airlines,0.9121
Promoter,Amenity Kit: Comments,fr,Lack of Quiz ,Manque des boules quies ,No ear plugs,Negative,CDG-MRU,NK0045,31/12/2018,ECONOMY,015B,359C,3BNBQ,NO,Male,65-75,France,negative,-0.830803,Lack of Quiz,negative,0.5,0.090723,0.077654,0.087573,0.185315,0.144548,,
Promoter,Amenity Kit: Comments,it,Not,Non,None,Neutral,CDG-MRU,NK0045,18/01/2019,ECONOMY,012J,359C,3BNBQ,NO,Male,65-75,France,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Detractor,Amenity Kit: Comments,en,Lovely much better than BA business ,Lovely much better than BA business ,Good products,Positive,LHR-MRU,NK0053,18/01/2019,BUSINESS,006A,343C,3BNBE,NO,Female,45-54,United Kingdom,positive,0.944954,BA business,positive,0.5,0.019032,0.009978,0.008883,0.91455,0.012334,2007 singles,0.869372
Promoter,Amenity Kit: Comments,fr,No comfort pouch,Pas eu de pochette confort,Did not receive,Negative,MRU-CDG,NK0034,18/01/2019,ECONOMY,039H,359C,3BNBP,NO,Male,45-54,France,neutral,0,comfort pouch,neutral,0.5,0.088473,0.074744,0.091248,0.179551,0.148831,,
Promoter,Amenity Kit: Comments,fr,Handing out quies and candy or something to snack during the night,remettre des boules quies et des friandises ou quelque chose à grignoter pendant la nuit,No ear plugs,Negative,CDG-MRU,NK0045,18/01/2019,ECONOMY,042B,359C,3BNBQ,NO,Female,<18,Reunion,neutral,0,candy,neutral,0.716157,0.028094,0.177751,0.373242,0.303943,0.17906,Candy bar,0.83023
Promoter,Amenity Kit: Comments,pt,In the,No,None,Neutral,LHR-MRU,NK0053,18/01/2019,ECONOMY,019B,343C,3BNBE,NO,Male,65-75,United Kingdom,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Passive,Amenity Kit: Comments,en,I did not open it. Of little utility to me.,I did not open it. Of little utility to me.,Not useful,Negative,SIN-MRU,NK0647,17/01/2019,ECONOMY,016G,332,3BNBL,NO,Male,55-64,Singapore,negative,-0.943741,little utility,neutral,0.5,0.148523,0.081272,0.219329,0.105848,0.302381,,
Promoter,Amenity Kit: Comments,en,Loved the amenity kit on outbound and inbound flight,Loved the amenity kit on outbound and inbound flight,Compliment,Positive,MRU-LHR,NK0042,17/01/2019,ECONOMY,029H,343C,3BNBE,NO,Female,55-64,United Kingdom,positive,0.991854,amenity kit,positive,0.877978,0.032413,0.020678,0.019329,0.671909,0.072593,,
Detractor,Amenity Kit: Comments,fr,New sleeve very well,Nouvelle pochette très bien,Compliment,Positive,MRU-SIN,NK0646,16/01/2019,ECONOMY,018B,332,3BNBL,NO,Female,45-54,Mauritius,positive,0.912471,New sleeve,positive,0.5,0.030526,0.025852,0.083407,0.693479,0.085587,,
Promoter,Amenity Kit: Comments,it,not,non,none,Neutral,MRU-CDG,NK0034,16/01/2019,ECONOMY,040F,359C,3BNBP,NO,Female,45-54,France,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Passive,Amenity Kit: Comments,en,A nice touch but nowadays people travel with items required and felt it was a waste. Recommend asking what items someone may like instead (at boarding perhaps),A nice touch but nowadays people travel with items required and felt it was a waste. Recommend asking what items someone may like instead (at boarding perhaps),Not useful,Positive,LHR-MRU,NK0053,26/01/2019,ECONOMY,024G,343C,3BNBE,NO,Female,26-34,United Kingdom,negative,-0.803199,nice touch,negative,0.991772,0.197002,0.105132,0.02953,0.217729,0.472832,,
Promoter,Amenity Kit: Comments,en,Earplugs please and also the stickers which say wake me for food and do not wake me for food as I was in a deep sleep and woken by a member of the crew for a snack which I didn't want as I wasn't hungry. I would have appreciated not being woken as I couldn't get back to sleep. This was frustrating. Also. you offer cheese but no crackers. This would be a welcomed addition so you're not just eating a plain bit of cheese.,Earplugs please and also the stickers which say wake me for food and do not wake me for food as I was in a deep sleep and woken by a member of the crew for a snack which I didn't want as I wasn't hungry. I would have appreciated not being woken as I couldn't get back to sleep. This was frustrating. Also. you offer cheese but no crackers. This would be a welcomed addition so you're not just eating a plain bit of cheese.,No ear plugs,Negative,PER-MRU,NK0441,25/01/2019,ECONOMY,040E,332,3BNBL,NO,Female,26-34,Australia,negative,-0.628033,welcomed addition,negative,0.857648,0.725493,0.677743,0.127657,0.497549,0.628513,,
Promoter,Amenity Kit: Comments,pt,In the,No,None,Neutral,BOM-MRU,NK0749,25/01/2019,ECONOMY,020H,332,3BNBM,NO,Male,65-75,United Kingdom,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
Promoter,Amenity Kit: Comments,en,A nice touch!,A nice touch!,Compliment,Positive,MRU-LHR,NK0042,25/01/2019,ECONOMY,021H,343C,3BNBE,NO,Male,26-34,United Kingdom,positive,0.972711,nice touch,positive,0.5,0.037498,0.034555,0.013526,0.891219,0.005361,,
Promoter,Amenity Kit: Comments,en,None,None,None,Neutral,MRU-LHR,NK0042,25/01/2019,BUSINESS,003D,343C,3BNBE,YES,Male,45-54,United Kingdom,negative,-0.911489,None,negative,0.997527,0.0,0.0,0.0,0.0,0.0,,
Passive,Amenity Kit: Comments,en,None.,None.,None,Neutral,MRU-PER,NK0440,24/01/2019,ECONOMY,028G,332,3BNBL,NO,Male,65-75,Mauritius,negative,-0.911489,None,negative,0.997527,0.0,0.0,0.0,0.0,0.0,,
Detractor,Amenity Kit: Comments,pt,In the,No,None,Neutral,BOM-MRU,NK0749,24/01/2019,ECONOMY,,343C,3BNAU,YES,Male,35-44,India,neutral,0,,,,0.0,0.0,0.0,0.0,0.0,,
